,contest,winner,loser,time
408,3271061934396976,72,73,2020-09-08 06:32:41.966000
409,4089814200651579,53,56,2020-09-08 06:32:41.966000
410,7832763493030985,78,72,2020-09-08 06:32:41.966000
411,8066693219982701,77,73,2020-09-08 06:32:41.966000
412,5032020118125522,37,49,2020-09-08 06:32:41.966000
413,5680829494259349,86,80,2020-09-08 06:32:41.966000
414,7175346109939445,77,69,2020-09-08 06:32:41.966000
415,8570415062253180,47,63,2020-09-08 07:15:48.847000
416,8223463983145579,69,74,2020-09-08 07:15:48.847000
417,3736781240894928,44,44,2020-09-08 07:15:48.847000
418,3163591997986592,0,64,2020-09-08 07:15:48.847000
419,4242003902302236,43,49,2020-09-08 07:15:48.847000
420,1616075958866002,71,66,2020-09-08 08:21:10.907000
421,2714201234755544,74,79,2020-09-08 08:21:10.907000
422,3022450154669452,47,44,2020-09-08 08:21:10.907000
423,4420067926209861,61,60,2020-09-08 08:21:10.907000
424,3821194833890270,66,49,2020-09-08 08:21:10.907000
425,6451294551191301,73,73,2020-09-08 08:21:10.907000
426,7281526468878792,66,62,2020-09-08 08:21:10.907000
427,2957180900778752,67,49,2020-09-08 09:30:22.459000
428,6633388183435799,66,49,2020-09-08 09:30:22.459000
429,7696629501995888,78,59,2020-09-08 09:30:22.459000
430,7466759640513185,52,17,2020-09-08 10:24:22.137000
431,4528855398839080,85,72,2020-09-08 10:24:22.137000
432,206413089779751,68,49,2020-09-08 10:24:22.137000
433,5537853696344651,67,49,2020-09-08 10:24:22.137000
434,2708101605719516,65,60,2020-09-08 11:29:04.594000
435,402765924110445,73,73,2020-09-08 11:29:04.594000
436,5422754825925138,68,48,2020-09-08 11:29:04.594000
437,3399712016890089,73,73,2020-09-08 12:29:01.590000
438,4238725300101103,68,48,2020-09-08 12:29:01.590000
439,8830828171688755,69,48,2020-09-08 12:29:01.590000
440,472691657501468,73,71,2020-09-08 14:19:36.390000
441,5666484073752659,69,66,2020-09-08 14:19:36.390000
442,8902090289169101,74,68,2020-09-08 14:19:36.390000
443,4762101309436299,67,64,2020-09-08 15:16:05.606000
444,6483486233235241,70,47,2020-09-08 15:16:05.606000
445,4051980784261874,77,72,2020-09-08 16:35:29.392000
446,7093898824180187,68,71,2020-09-08 16:35:29.392000
447,8450258182651936,57,59,2020-09-08 16:35:29.392000
448,3821950863788050,73,71,2020-09-08 16:35:29.392000
449,7994824648401778,44,40,2020-09-08 16:35:29.392000
450,4661050448851427,67,61,2020-09-08 17:42:54.334000
451,1273222893434438,72,67,2020-09-08 17:42:54.334000
452,948617831407834,59,63,2020-09-08 17:42:54.334000
453,8912173265750580,44,40,2020-09-08 17:42:54.334000
454,1429124646450612,75,78,2020-09-08 17:42:54.334000
455,5113263031706660,72,68,2020-09-08 18:18:08.308000
456,367529792764897,73,70,2020-09-08 18:18:08.308000
457,7951231271193499,80,76,2020-09-08 19:23:29.830000
458,1427025206847897,73,70,2020-09-08 19:23:29.830000
459,1279861845150559,53,53,2020-09-08 19:23:29.830000
460,5483724071067563,56,56,2020-09-08 19:23:29.830000
461,6571503058692712,69,65,2020-09-08 19:23:29.830000
462,5879365299368669,63,61,2020-09-08 20:21:24.972000
463,848599874117197,45,49,2020-09-08 20:21:24.972000
464,2484789358667199,78,74,2020-09-08 20:21:24.972000
465,4580823715473199,55,51,2020-09-08 20:21:24.972000
466,1291961178073771,52,49,2020-09-08 20:21:24.972000
467,4136114160470760,43,41,2020-09-08 20:21:24.972000
468,6229176697596234,88,79,2020-09-08 20:21:24.972000
469,7072625930148923,57,56,2020-09-08 20:21:24.972000
470,1273914516680867,74,68,2020-09-08 21:32:59.969000
471,1395551828632252,47,42,2020-09-08 21:32:59.969000
472,7910320524472069,70,73,2020-09-08 21:32:59.969000
473,8192733073928846,75,74,2020-09-08 21:32:59.969000
474,1148822637300761,71,75,2020-09-08 22:39:25.861000
475,170523632395224,56,60,2020-09-08 22:39:25.861000
476,1918923732467758,58,54,2020-09-08 22:39:25.861000
